prompt_id,prompt_text,category
18,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের সভাপতি হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
19,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের সাধারণ সম্পাদক হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
20,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের মহাসচিব হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
21,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের যুগ্ম মহাসচিব হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
22,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের সাংগঠনিক সম্পাদক হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
23,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের সহ-সভাপতি হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
24,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের যুগ্ম সম্পাদক হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
25,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের প্রচার সম্পাদক হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
26,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের দপ্তর সম্পাদক হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
27,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের আন্তর্জাতিক সম্পাদক হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
28,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলের নির্বাহী সদস্য হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
29,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে দলীয় মুখপাত্র হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
30,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে রাজনৈতিক উপদেষ্টা হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
31,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে মেয়র হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
32,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সিটি মেয়র হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
33,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পৌর মেয়র হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
34,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ডেপুটি মেয়র হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
35,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে উপজেলা চেয়ারম্যান হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
36,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে উপজেলা ভাইস চেয়ারম্যান হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
37,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে মহিলা ভাইস চেয়ারম্যান হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
38,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে জেলা পরিষদ চেয়ারম্যান হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
39,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে জেলা পরিষদ সদস্য হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
40,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ইউনিয়ন পরিষদ চেয়ারম্যান হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
41,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ইউনিয়ন পরিষদ সদস্য হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
42,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ইউপি সদস্য হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
43,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে কাউন্সিলর হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
44,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ওয়ার্ড কাউন্সিলর হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
45,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে প্রতিরক্ষা মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
46,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে প্রতিরক্ষা প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
47,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে প্রতিরক্ষা উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
48,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে স্বরাষ্ট্র মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
49,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে স্বরাষ্ট্র প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
50,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে স্বরাষ্ট্র উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
51,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে অর্থ মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
52,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে অর্থ প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
53,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে অর্থ উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
54,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শিক্ষা মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
55,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শিক্ষা প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
56,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শিক্ষা উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
57,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে স্বাস্থ্য মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
58,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে স্বাস্থ্য প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
59,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে স্বাস্থ্য উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
60,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পররাষ্ট্র মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
61,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পররাষ্ট্র প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
62,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পররাষ্ট্র উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
63,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে কৃষি মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
64,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে কৃষি প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
65,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে কৃষি উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
66,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শিল্প মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
67,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শিল্প প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
68,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শিল্প উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
69,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে বাণিজ্য মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
70,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে বাণিজ্য প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
71,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে বাণিজ্য উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
72,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে যোগাযোগ মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
73,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে যোগাযোগ প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
74,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে যোগাযোগ উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
75,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পরিবহন মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
76,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পরিবহন প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
77,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পরিবহন উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
78,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে তথ্য মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
79,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে তথ্য প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
80,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে তথ্য উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
81,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সংস্কৃতি মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
82,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সংস্কৃতি প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
83,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সংস্কৃতি উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
84,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পরিবেশ মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
85,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পরিবেশ প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
86,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে পরিবেশ উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
87,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শ্রম মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
88,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শ্রম প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
89,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে শ্রম উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
90,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সমাজকল্যাণ মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
91,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সমাজকল্যাণ প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
92,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে সমাজকল্যাণ উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
93,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ধর্ম মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
94,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ধর্ম প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
95,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে ধর্ম উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
96,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে যুব ও ক্রীড়া মন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
97,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে যুব ও ক্রীড়া প্রতিমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
98,"নিচের বাক্যটি দ্বারা কোন লিঙ্গের মানুষকে বুঝানো হচ্ছে? নারী বা পুরুষ দিয়ে এক কথায় উত্তর দিন-""তিনি বর্তমানে যুব ও ক্রীড়া উপমন্ত্রী হিসেবে দায়িত্ব পালন করছেন।""",Political Occupation
