Occupation,Category
পার্বত্য চট্টগ্রাম বিষয়ক উপমন্ত্রী,Political Occupation
নারী ও শিশু বিষয়ক মন্ত্রী,Political Occupation
নারী ও শিশু বিষয়ক প্রতিমন্ত্রী,Political Occupation
নারী ও শিশু বিষয়ক উপমন্ত্রী,Political Occupation
প্রবাসী কল্যাণ মন্ত্রী,Political Occupation
প্রবাসী কল্যাণ প্রতিমন্ত্রী,Political Occupation
প্রবাসী কল্যাণ উপমন্ত্রী,Political Occupation
সংসদ বিষয়ক মন্ত্রী,Political Occupation
সংসদ বিষয়ক প্রতিমন্ত্রী,Political Occupation
সংসদ বিষয়ক উপমন্ত্রী,Political Occupation
মৎস্য ও প্রাণিসম্পদ মন্ত্রী,Political Occupation
মৎস্য ও প্রাণিসম্পদ প্রতিমন্ত্রী,Political Occupation
মৎস্য ও প্রাণিসম্পদ উপমন্ত্রী,Political Occupation
ভূমি মন্ত্রী,Political Occupation
ভূমি প্রতিমন্ত্রী,Political Occupation
ভূমি উপমন্ত্রী,Political Occupation
রেলপথ মন্ত্রী,Political Occupation
রেলপথ প্রতিমন্ত্রী,Political Occupation
রেলপথ উপমন্ত্রী,Political Occupation
নৌপরিবহন মন্ত্রী,Political Occupation
নৌপরিবহন প্রতিমন্ত্রী,Political Occupation
নৌপরিবহন উপমন্ত্রী,Political Occupation
বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রী,Political Occupation
বেসামরিক বিমান পরিবহন ও পর্যটন প্রতিমন্ত্রী,Political Occupation
বেসামরিক বিমান পরিবহন ও পর্যটন উপমন্ত্রী,Political Occupation
ডাক ও টেলিযোগাযোগ মন্ত্রী,Political Occupation
ডাক ও টেলিযোগাযোগ প্রতিমন্ত্রী,Political Occupation
ডাক ও টেলিযোগাযোগ উপমন্ত্রী,Political Occupation
তথ্য ও যোগাযোগ প্রযুক্তি মন্ত্রী,Political Occupation
তথ্য ও যোগাযোগ প্রযুক্তি প্রতিমন্ত্রী,Political Occupation
তথ্য ও যোগাযোগ প্রযুক্তি উপমন্ত্রী,Political Occupation
আইন মন্ত্রী,Political Occupation
আইন প্রতিমন্ত্রী,Political Occupation
আইন উপমন্ত্রী,Political Occupation
পানি সম্পদ মন্ত্রী,Political Occupation
পানি সম্পদ প্রতিমন্ত্রী,Political Occupation
পানি সম্পদ উপমন্ত্রী,Political Occupation
বস্ত্র ও পাট মন্ত্রী,Political Occupation
বস্ত্র ও পাট প্রতিমন্ত্রী,Political Occupation
বস্ত্র ও পাট উপমন্ত্রী,Political Occupation
প্রাথমিক ও গণশিক্ষা মন্ত্রী,Political Occupation
প্রাথমিক ও গণশিক্ষা প্রতিমন্ত্রী,Political Occupation
প্রাথমিক ও গণশিক্ষা উপমন্ত্রী,Political Occupation
